"Affected Versions","Created","Fixed Version","Key","Project"
"25,26,27","2014-11-25T16:58:25","27","OPENJPA-2547","OpenJPA"
"26,27","2014-11-11T14:51:15","27","OPENJPA-2542","OpenJPA"
"20","2014-10-24T02:39:01","28","OPENJPA-2539","OpenJPA"
"26,27","2014-10-14T00:00:43","27","OPENJPA-2536","OpenJPA"
"26,27","2014-10-07T15:50:18","27","OPENJPA-2534","OpenJPA"
"25,26,27","2014-10-07T00:28:08","27","OPENJPA-2533","OpenJPA"
"25","2014-08-22T23:58:59","27","OPENJPA-2525","OpenJPA"
"22,23,25,26","2014-07-15T08:50:03","28","OPENJPA-2517","OpenJPA"
"26,27","2014-07-08T18:07:46","27","OPENJPA-2515","OpenJPA"
"25,26,27","2014-05-29T14:07:08","27","OPENJPA-2508","OpenJPA"
"22,26,27","2014-05-27T20:57:04","27","OPENJPA-2507","OpenJPA"
"18,21,25,26,27","2014-05-23T17:56:26","27","OPENJPA-2506","OpenJPA"
"20,25,26,27","2014-05-16T15:55:17","27","OPENJPA-2505","OpenJPA"
"23,25,26,27","2014-05-09T17:25:08","27","OPENJPA-2502","OpenJPA"
"26,27","2014-04-14T16:42:42","27","OPENJPA-2494","OpenJPA"
"21,25,26,27","2014-03-11T20:41:17","27","OPENJPA-2482","OpenJPA"
"25,26,27","2014-02-12T18:16:55","27","OPENJPA-2478","OpenJPA"
"20,22,26,27","2014-02-07T17:58:42","27","OPENJPA-2476","OpenJPA"
"21,25,26,27","2014-01-30T18:30:11","27","OPENJPA-2475","OpenJPA"
"25,26","2014-01-17T23:22:59","28","OPENJPA-2472","OpenJPA"
"18,21,25","2014-01-15T01:10:23","28","OPENJPA-2470","OpenJPA"
"25","2013-12-20T21:52:46","27","OPENJPA-2467","OpenJPA"
"18,25","2013-12-04T15:53:46","27","OPENJPA-2463","OpenJPA"
"","2013-10-11T16:09:54","26","OPENJPA-2437","OpenJPA"
"20,25,26","2013-10-09T01:02:08","26","OPENJPA-2435","OpenJPA"
"","2013-09-27T12:05:21","26","OPENJPA-2432","OpenJPA"
"21,25,26","2013-08-26T17:56:29","26","OPENJPA-2423","OpenJPA"
"25,26","2013-08-14T10:46:03","26","OPENJPA-2421","OpenJPA"
"25","2013-07-11T08:11:36","26","OPENJPA-2409","OpenJPA"
"","2013-06-25T09:38:19","26","OPENJPA-2405","OpenJPA"
"","2013-06-14T15:29:15","26","OPENJPA-2400","OpenJPA"
"","2013-05-31T15:16:49","26","OPENJPA-2391","OpenJPA"
"23","2013-05-29T12:40:07","26","OPENJPA-2390","OpenJPA"
"25","2013-05-15T15:13:41","27","OPENJPA-2381","OpenJPA"
"","2013-04-25T10:15:48","26","OPENJPA-2377","OpenJPA"
"23,26","2013-04-23T15:00:34","27","OPENJPA-2374","OpenJPA"
"23","2013-04-15T20:02:39","27","OPENJPA-2369","OpenJPA"
"22,23","2013-03-22T17:31:42","24","OPENJPA-2357","OpenJPA"
"","2013-03-20T22:50:42","24","OPENJPA-2355","OpenJPA"
"23,26","2013-03-01T14:56:12","26","OPENJPA-2343","OpenJPA"
"22","2013-02-27T16:24:14","28","OPENJPA-2341","OpenJPA"
"","2013-02-19T22:29:21","24","OPENJPA-2336","OpenJPA"
"","2013-02-19T20:27:56","26","OPENJPA-2335","OpenJPA"
"22,23","2013-02-07T11:03:23","26","OPENJPA-2330","OpenJPA"
"21,22,23","2013-01-31T08:44:50","24","OPENJPA-2328","OpenJPA"
"","2013-01-10T21:14:08","24","OPENJPA-2321","OpenJPA"
"","2013-01-08T02:38:28","24","OPENJPA-2320","OpenJPA"
"21","2013-01-05T00:50:14","26","OPENJPA-2318","OpenJPA"
"","2012-12-11T18:14","24","OPENJPA-2304","OpenJPA"
"23","2012-11-26T09:04:08","29","OPENJPA-2300","OpenJPA"
"22,26","2012-11-16T17:18:32","24","OPENJPA-2298","OpenJPA"
"18,21,22,26","2012-10-31T18:40:55","24","OPENJPA-2289","OpenJPA"
"21,22","2012-10-29T14:54:53","24","OPENJPA-2288","OpenJPA"
"22","2012-10-29T11:03:29","27","OPENJPA-2287","OpenJPA"
"22","2012-10-26T10:50:54","29","OPENJPA-2286","OpenJPA"
"18,23,26","2012-10-25T19:07:19","24","OPENJPA-2284","OpenJPA"
"","2012-10-02T08:48:35","23","OPENJPA-2271","OpenJPA"
"22,26","2012-09-27T18:49:01","23","OPENJPA-2269","OpenJPA"
"22,26","2012-09-26T02:29:02","23","OPENJPA-2267","OpenJPA"
"20,21,22","2012-09-10T16:50:51","23","OPENJPA-2261","OpenJPA"
"20,21,22","2012-09-10T15:50:58","23","OPENJPA-2260","OpenJPA"
"","2012-09-03T10:28:41","23","OPENJPA-2257","OpenJPA"
"21","2012-08-31T01:15:52","23","OPENJPA-2255","OpenJPA"
"22,26","2012-08-20T10:08:44","26","OPENJPA-2253","OpenJPA"
"18,23,26","2012-08-03T15:29:58","23","OPENJPA-2247","OpenJPA"
"22,26","2012-08-02T12:41:30","29","OPENJPA-2245","OpenJPA"
"18,21,22","2012-08-01T21:43:18","24","OPENJPA-2244","OpenJPA"
"22,23,26","2012-07-25T10:32:53","24","OPENJPA-2240","OpenJPA"
"22,26","2012-07-23T14:41:17","23","OPENJPA-2238","OpenJPA"
"23,26","2012-07-19T22:03:20","24","OPENJPA-2236","OpenJPA"
"21,22,26","2012-07-19T15:55:22","24","OPENJPA-2235","OpenJPA"
"18","2012-07-19T10:06:09","23","OPENJPA-2234","OpenJPA"
"18,20,22,26","2012-07-17T15:39:50","27","OPENJPA-2233","OpenJPA"
"22,23,26","2012-07-12T14:19:25","23","OPENJPA-2229","OpenJPA"
"22,26","2012-07-10T18:48:54","23","OPENJPA-2228","OpenJPA"
"17,20,22","2012-07-09T19:24:05","23","OPENJPA-2227","OpenJPA"
"20","2012-06-28T14:47:38","26","OPENJPA-2221","OpenJPA"
"17,20,22,26","2012-05-17T16:23:16","23","OPENJPA-2199","OpenJPA"
"22","2012-05-16T22:10:22","23","OPENJPA-2197","OpenJPA"
"22","2012-05-16T04:41:22","23","OPENJPA-2196","OpenJPA"
"17,20,22,26","2012-05-12T09:49:13","23","OPENJPA-2191","OpenJPA"
"22","2012-05-09T12:57:07","23","OPENJPA-2187","OpenJPA"
"22","2012-04-26T12:40:39","23","OPENJPA-2178","OpenJPA"
"20,22","2012-04-17T20:40:17","23","OPENJPA-2174","OpenJPA"
"22,23,26","2012-04-13T18:32:50","24","OPENJPA-2172","OpenJPA"
"22,26","2012-04-10T19:29:11","23","OPENJPA-2170","OpenJPA"
"18,23,26","2012-03-27T20:56:55","23","OPENJPA-2163","OpenJPA"
"22,26","2012-03-25T14:50:11","23","OPENJPA-2161","OpenJPA"
"21,22,26","2012-03-21T18:58:44","23","OPENJPA-2158","OpenJPA"
"22,26","2012-03-16T16:41:09","23","OPENJPA-2156","OpenJPA"
"22,26","2012-03-12T05:00:38","23","OPENJPA-2154","OpenJPA"
"22,26","2012-03-09T21:57:55","23","OPENJPA-2153","OpenJPA"
"18,21","2012-03-05T07:50:18","23","OPENJPA-2149","OpenJPA"
"17,18,20,21,22,23","2012-02-27T22:17:52","23","OPENJPA-2146","OpenJPA"
"22,23,26","2012-02-27T19:22:14","23","OPENJPA-2145","OpenJPA"
"17,21,22,26","2012-02-21T20:18:25","23","OPENJPA-2136","OpenJPA"
"21","2012-02-15T16:16:04","23","OPENJPA-2133","OpenJPA"
"18,21,22","2012-02-14T20:48:29","23","OPENJPA-2132","OpenJPA"
"21","2012-02-14T20:23:53","23","OPENJPA-2131","OpenJPA"
"17,18,20,26","2012-02-09T20:00:47","22","OPENJPA-2124","OpenJPA"
"17,20,22","2012-01-30T22:14:15","23","OPENJPA-2118","OpenJPA"
"21,22,24","2012-01-26T18:19:22","24","OPENJPA-2117","OpenJPA"
"13,21","2012-01-17T20:04:35","23","OPENJPA-2110","OpenJPA"
"18,20,22","2012-01-11T17:53:59","23","OPENJPA-2107","OpenJPA"
"18,22","2011-12-28T04:57:17","23","OPENJPA-2102","OpenJPA"
"22,24","2011-12-16T22:22:46","23","OPENJPA-2095","OpenJPA"
"","2011-12-13T21:24:47","27","OPENJPA-2094","OpenJPA"
"","2011-12-07T12:00:58","22","OPENJPA-2088","OpenJPA"
"21","2011-11-29T19:26:18","22","OPENJPA-2083","OpenJPA"
"10,13,24","2011-11-09T08:12:15","23","OPENJPA-2072","OpenJPA"
"22,24","2011-10-28T20:45:42","23","OPENJPA-2067","OpenJPA"
"6,21,22","2011-10-26T00:39:57","22","OPENJPA-2066","OpenJPA"
"20,21,22","2011-10-25T18:01:35","22","OPENJPA-2065","OpenJPA"
"22","2011-10-13T21:54","27","OPENJPA-2060","OpenJPA"
"17,18,21","2011-10-04T10:41:39","22","OPENJPA-2056","OpenJPA"
"20","2011-09-30T18:26:06","27","OPENJPA-2055","OpenJPA"
"17","2011-09-29T14:58:38","23","OPENJPA-2053","OpenJPA"
"17,21,22","2011-09-15T21:12:58","23","OPENJPA-2051","OpenJPA"
"20,22","2011-09-01T14:03:16","22","OPENJPA-2045","OpenJPA"
"18,21,22","2011-08-25T11:30:52","22","OPENJPA-2044","OpenJPA"
"21,22","2011-08-10T22:03:53","22","OPENJPA-2039","OpenJPA"
"21","2011-08-10T17:10:27","22","OPENJPA-2038","OpenJPA"
"20","2011-07-27T21:22:06","22","OPENJPA-2036","OpenJPA"
"20","2011-07-22T06:33:55","21","OPENJPA-2034","OpenJPA"
"20","2011-07-06T18:03:24","21","OPENJPA-2027","OpenJPA"
"20","2011-06-30T16:09:40","21","OPENJPA-2025","OpenJPA"
"20,21,22","2011-06-25T18:55:20","27","OPENJPA-2022","OpenJPA"
"20","2011-06-15T17:08:54","26","OPENJPA-2018","OpenJPA"
"20","2011-06-09T06:52:36","21","OPENJPA-2013","OpenJPA"
"18,20","2011-06-08T22:06:43","22","OPENJPA-2011","OpenJPA"
"18,20","2011-06-08T20:10:10","22","OPENJPA-2010","OpenJPA"
"20","2011-06-06T19:13:50","22","OPENJPA-2008","OpenJPA"
"17,18,20,22","2011-05-25T19:51:51","21","OPENJPA-2007","OpenJPA"
"13,20,22","2011-05-25T14:59:59","22","OPENJPA-2006","OpenJPA"
"20","2011-05-24T18:24:18","21","OPENJPA-2005","OpenJPA"
"20","2011-05-14T11:40:49","21","OPENJPA-2000","OpenJPA"
"20","2011-05-10T19:37:34","21","OPENJPA-1996","OpenJPA"
"","2011-05-10T02:40:36","21","OPENJPA-1995","OpenJPA"
"","2011-05-05T18:00:55","21","OPENJPA-1994","OpenJPA"
"3,4,5,7,8,10,13,17,18,19,20","2011-05-04T20:12:30","32","OPENJPA-1993","OpenJPA"
"20","2011-05-04T09:40:59","21","OPENJPA-1992","OpenJPA"
"20,22","2011-04-28T15:55:27","21","OPENJPA-1989","OpenJPA"
"18,20,22","2011-04-27T16:44:53","21","OPENJPA-1986","OpenJPA"
"20","2011-04-26T12:42:28","21","OPENJPA-1985","OpenJPA"
"20,21,22","2011-04-24T21:11:58","21","OPENJPA-1984","OpenJPA"
"20,22","2011-04-19T19:51:26","26","OPENJPA-1983","OpenJPA"
"20","2011-04-14T14:31:04","21","OPENJPA-1981","OpenJPA"
"9,17","2011-04-12T20:33:39","24","OPENJPA-1979","OpenJPA"
"18,20","2011-04-07T20:57:51","21","OPENJPA-1975","OpenJPA"
"20,22","2011-04-04T10:20:01","21","OPENJPA-1974","OpenJPA"
"20,21,22","2011-03-30T17:39:19","21","OPENJPA-1969","OpenJPA"
"20,21,22","2011-03-29T16:23:57","21","OPENJPA-1968","OpenJPA"
"20,22","2011-03-15T23:19:03","21","OPENJPA-1960","OpenJPA"
"13,18,20,22","2011-03-12T19:04:01","21","OPENJPA-1959","OpenJPA"
"13,18,20,22","2011-03-12T16:11:16","21","OPENJPA-1958","OpenJPA"
"13,18,20","2011-03-09T00:11:37","21","OPENJPA-1957","OpenJPA"
"13,17,20,22","2011-03-02T16:22:48","26","OPENJPA-1954","OpenJPA"
"13,20","2011-02-18T14:37:08","21","OPENJPA-1944","OpenJPA"
"18,20,22","2011-02-17T21:01","20","OPENJPA-1943","OpenJPA"
"20","2011-02-16T19:42:31","21","OPENJPA-1940","OpenJPA"
"13,18,20","2011-02-14T22:30:03","21","OPENJPA-1939","OpenJPA"
"20","2011-01-30T10:38:57","22","OPENJPA-1932","OpenJPA"
